iter	Passed	Remaining
0	18	18918
1	70	35236
2	102	34160
3	148	36856
4	208	41424
5	263	43690
6	302	42962
7	348	43228
8	406	44801
9	440	43614
10	495	44510
11	543	44742
12	569	43269
13	617	43474
14	669	43964
15	708	43590
16	735	42513
17	773	42217
18	834	43070
19	882	43237
20	939	43787
21	977	43466
22	1021	43392
23	1058	43057
24	1081	42167
25	1098	41151
26	1123	40489
27	1153	40059
28	1191	39893
29	1225	39625
30	1250	39079
31	1273	38513
32	1312	38451
33	1333	37882
34	1358	37458
35	1403	37571
36	1438	37433
37	1468	37182
38	1493	36805
39	1511	36278
40	1563	36565
41	1577	35987
42	1625	36183
43	1658	36045
44	1700	36093
45	1740	36087
46	1768	35854
47	1784	35393
48	1794	34825
49	1836	34894
50	1878	34963
51	1920	35010
52	1970	35201
53	2006	35158
54	2049	35220
55	2093	35288
56	2129	35234
57	2168	35220
58	2212	35295
59	2254	35321
60	2298	35380
61	2316	35044
62	2359	35086
63	2406	35201
64	2426	34904
65	2442	34560
66	2492	34707
67	2553	34992
68	2586	34899
69	2598	34523
70	2635	34477
71	2675	34487
72	2706	34367
73	2735	34234
74	2765	34105
75	2797	34007
76	2829	33915
77	2863	33844
78	2893	33737
79	2933	33735
80	2952	33502
81	3013	33731
82	3065	33871
83	3123	34055
84	3167	34095
85	3225	34285
86	3266	34274
87	3306	34267
88	3328	34069
89	3366	34038
90	3409	34060
91	3458	34129
92	3516	34299
93	3571	34420
94	3600	34300
95	3650	34374
96	3689	34351
97	3739	34421
98	3780	34405
99	3824	34422
100	3852	34294
101	3871	34087
102	3885	33841
103	3935	33908
104	3979	33918
105	4033	34018
106	4080	34056
107	4129	34109
108	4158	33994
109	4217	34121
110	4265	34158
111	4293	34040
112	4350	34152
113	4409	34272
114	4456	34295
115	4492	34235
116	4510	34040
117	4553	34036
118	4620	34206
119	4660	34175
120	4698	34131
121	4706	33871
122	4727	33708
123	4772	33715
124	4830	33810
125	4872	33801
126	4931	33901
127	4973	33882
128	5029	33959
129	5079	33993
130	5115	33935
131	5148	33858
132	5191	33839
133	5246	33905
134	5305	33993
135	5357	34034
136	5415	34113
137	5448	34033
138	5496	34045
139	5557	34137
140	5612	34192
141	5679	34318
142	5706	34198
143	5734	34089
