iter	Logloss
0	0.659603651
1	0.6345584221
2	0.6091527757
3	0.587392102
4	0.5683445769
5	0.5502537887
6	0.5348883809
7	0.5203796893
8	0.508601308
9	0.4984488772
10	0.4895070179
11	0.4836322018
12	0.4770526952
13	0.4709515237
14	0.4647118228
15	0.4617370584
16	0.4566811459
17	0.4528598944
18	0.4498555751
19	0.4460326177
20	0.4432315085
21	0.4407734533
22	0.4386448606
23	0.4363075989
24	0.4346964404
25	0.4333005449
26	0.431686138
27	0.4302566494
28	0.4287564092
29	0.4275894407
30	0.4264857993
31	0.4253837023
32	0.4242620727
33	0.423163309
34	0.4221280964
35	0.4214317588
36	0.4207923907
37	0.4198684244
38	0.4192597276
39	0.4182971916
40	0.4176537634
41	0.41703711
42	0.4166922328
43	0.41636295
44	0.4157829386
45	0.4156486355
46	0.4152344798
47	0.4144888792
48	0.41391986
49	0.4135631989
50	0.4132908203
51	0.4128132889
52	0.4125961199
53	0.4121589763
54	0.4117551201
55	0.4111473715
56	0.4110160587
57	0.4109057305
58	0.4107582523
59	0.4103600241
60	0.4100351422
61	0.4097918274
62	0.4096101455
63	0.4092328631
64	0.409032184
65	0.4086105101
66	0.4084164919
67	0.4080760894
68	0.4078753928
69	0.4076823219
70	0.4075407986
71	0.4073078931
72	0.4071027368
73	0.4067580149
74	0.4066295937
75	0.4065159346
76	0.4064385882
77	0.4063703735
78	0.4062851326
79	0.4061434604
80	0.4058679749
81	0.4056770685
82	0.4054881495
83	0.4054140365
84	0.4052494469
85	0.4051541412
86	0.4048905607
87	0.4048571645
88	0.4045841878
89	0.4045031475
90	0.4043344886
91	0.404101865
92	0.4039261904
93	0.4037147089
94	0.4035544575
95	0.4034318633
96	0.4032429734
97	0.403095883
98	0.4029650279
99	0.4027427316
100	0.402644919
101	0.4023363302
102	0.402244163
103	0.4021700404
104	0.4019583411
105	0.4018208738
106	0.4016338163
107	0.4013527978
108	0.4012980991
109	0.4011121558
110	0.4009034715
111	0.4008050515
112	0.4005168816
113	0.4004514512
114	0.4002074753
115	0.4001060375
116	0.3999172641
117	0.3997736344
118	0.399518932
119	0.3994941101
120	0.399442287
121	0.3992639831
122	0.3991683678
123	0.3991672878
124	0.3989602966
125	0.3987567462
126	0.398724199
127	0.3985294163
128	0.3982592578
129	0.3981796928
130	0.3979603497
131	0.3977974406
132	0.3977056148
133	0.3973791283
134	0.3972974975
135	0.3972520461
136	0.3971241165
137	0.3970048323
138	0.3968049151
139	0.3967829838
140	0.3966162075
141	0.3964944034
142	0.3963932108
143	0.3960859035
144	0.3959929787
145	0.395793177
146	0.3956661234
147	0.395533045
148	0.3954420081
149	0.3953375273
150	0.3952039678
151	0.3950783136
152	0.3947881177
153	0.3947610712
154	0.3946760153
155	0.3944410349
156	0.3941412606
157	0.3939856077
158	0.3938600812
159	0.3938373255
160	0.3935642104
161	0.3935356585
162	0.3932794575
163	0.3929029731
164	0.3928202345
165	0.3925936369
166	0.3923168618
167	0.3919696552
168	0.3917623562
169	0.3915770118
170	0.391546964
171	0.3912581718
172	0.3909954733
173	0.3909731826
174	0.3909140284
175	0.390803498
176	0.3907415828
177	0.3906837441
178	0.3905843773
179	0.390492823
180	0.3903350882
181	0.3899191896
182	0.3899023649
183	0.3898153
184	0.3896285786
185	0.3895529628
186	0.3895234527
187	0.3892992126
188	0.3892870005
189	0.3892475034
190	0.3891934422
191	0.3889898865
192	0.3889136907
