iter	Passed	Remaining
0	7	11511
1	12	10358
2	21	11353
3	28	11374
4	42	13620
5	49	13184
6	57	13040
7	66	13220
8	79	14126
9	86	13857
10	100	14500
11	108	14371
12	117	14404
13	124	14101
14	131	13934
15	140	13927
16	147	13765
17	154	13644
18	167	13981
19	174	13839
20	178	13481
21	188	13569
22	196	13500
23	201	13307
24	212	13433
25	218	13297
26	229	13406
27	235	13281
28	247	13457
29	257	13520
30	265	13505
31	274	13511
32	282	13462
33	293	13575
34	304	13671
35	317	13868
36	325	13783
37	334	13790
38	342	13772
39	350	13731
40	364	13918
41	378	14102
42	386	14033
43	405	14409
44	420	14588
45	428	14523
46	442	14688
47	460	14943
48	474	15079
49	484	15090
50	494	15063
51	511	15275
52	524	15371
53	535	15397
54	551	15546
55	566	15680
56	572	15567
57	583	15582
58	596	15645
59	605	15601
60	614	15559
61	621	15482
62	629	15426
63	642	15471
64	655	15529
65	662	15468
66	672	15438
67	679	15366
68	691	15397
69	697	15309
70	705	15259
71	717	15277
72	723	15195
73	742	15375
74	760	15529
75	778	15668
76	795	15788
77	813	15941
78	838	16206
79	860	16418
80	877	16525
81	888	16517
82	903	16587
83	915	16589
84	923	16528
85	940	16618
86	960	16772
87	969	16727
88	983	16768
89	992	16711
90	1012	16862
91	1027	16905
92	1038	16895
93	1053	16939
94	1068	16993
95	1089	17138
96	1109	17252
97	1127	17345
98	1145	17441
99	1164	17530
100	1177	17541
101	1191	17568
102	1204	17578
103	1226	17715
104	1247	17827
105	1265	17901
106	1281	17946
107	1296	17981
108	1315	18067
109	1324	18010
110	1342	18082
111	1358	18119
112	1372	18133
113	1388	18165
114	1402	18182
115	1422	18265
116	1435	18272
117	1451	18306
118	1465	18311
119	1478	18305
120	1493	18325
121	1503	18287
122	1512	18235
123	1520	18176
124	1541	18258
125	1553	18245
126	1568	18264
127	1581	18260
128	1598	18297
129	1610	18282
130	1622	18269
131	1634	18253
132	1653	18314
133	1663	18275
134	1674	18246
135	1694	18312
136	1708	18319
137	1722	18326
138	1742	18394
139	1757	18408
140	1771	18401
141	1787	18423
142	1795	18373
143	1802	18300
144	1816	18305
145	1830	18303
146	1840	18269
147	1856	18290
148	1871	18304
149	1886	18311
150	1897	18285
151	1906	18237
152	1916	18199
153	1932	18218
154	1950	18257
155	1962	18242
156	1981	18288
157	2002	18349
158	2020	18384
159	2033	18377
160	2057	18464
161	2069	18450
162	2087	18482
163	2101	18477
164	2111	18440
165	2135	18524
166	2159	18610
167	2171	18591
168	2189	18619
169	2202	18607
170	2219	18625
171	2231	18606
172	2259	18712
173	2276	18734
174	2292	18744
175	2312	18785
176	2327	18791
177	2340	18773
178	2351	18744
179	2367	18753
180	2378	18727
181	2392	18716
182	2416	18789
183	2433	18805
184	2448	18809
185	2470	18862
186	2493	18922
187	2512	18948
188	2533	18997
189	2557	19060
190	2575	19082
191	2590	19075
192	2601	19045
